record_id,grade,total_students,present_students,marked_by,attendance_count_anomaly,attendance_rate,date,day_of_week,is_sunday,proxy_attendance_flag,school_id,teacher_present
ATT0014650,5,85,60,Admin,False,70.58823529411765,2025-07-26,Saturday,False,False,SCH0596,1.0
ATT0009232,1,197,119,Admin,False,60.40609137055838,2025-03-11,Tuesday,False,False,SCH0054,1.0
ATT0006474,5,58,52,Class Teacher,False,89.65517241379311,2025-05-16,Friday,False,False,SCH0433,1.0
ATT0018737,6,94,71,,False,75.53191489361703,2025-04-21,Monday,False,False,SCH0379,1.0
ATT0012348,1,234,194,Admin,False,82.90598290598291,2025-08-30,Saturday,False,False,SCH0208,1.0
ATT0017158,2,85,58,,False,68.23529411764706,2025-05-19,Monday,False,False,SCH0505,0.0
ATT0014975,2,236,189,,False,80.08474576271186,2025-04-15,Tuesday,False,False,SCH0128,1.0
ATT0011151,6,261,197,Admin,False,75.47892720306514,2025-06-24,Tuesday,False,False,SCH0393,1.0
ATT0002175,3,260,271,,True,104.23076923076924,2025-05-17,Saturday,False,False,SCH0398,1.0
ATT0001505,8,151,125,Clerk,False,82.78145695364239,2025-05-04,Sunday,True,False,SCH0377,1.0
ATT0008971,7,96,61,,False,63.541666666666664,2025-09-07,Sunday,True,False,SCH0268,1.0
ATT0000448,1,272,261,Clerk,False,95.95588235294117,2025-07-30,Wednesday,False,False,SCH0286,1.0
ATT0007459,8,181,188,Headmaster,True,103.86740331491713,2025-05-26,Monday,False,False,SCH0403,1.0
ATT0019075,2,259,241,,False,93.05019305019306,2025-10-30,Thursday,False,False,SCH0212,1.0
ATT0005117,8,287,190,,False,66.2020905923345,2025-09-20,Saturday,False,False,SCH0434,1.0
ATT0013119,5,145,122,Admin,False,84.13793103448276,2026-02-18,Wednesday,False,False,SCH0555,1.0
ATT0013105,9,163,146,Headmaster,False,89.57055214723927,2026-01-24,Saturday,False,False,SCH0074,1.0
ATT0006545,2,110,100,,False,90.9090909090909,2025-08-08,Friday,False,False,SCH0335,1.0
ATT0010646,1,79,74,Clerk,False,93.67088607594937,2026-10-01,Thursday,False,False,SCH0329,1.0
ATT0008701,5,288,231,,False,80.20833333333334,2025-10-10,Friday,False,False,SCH0369,1.0
ATT0005000,1,224,177,Admin,False,79.01785714285714,2025-12-04,Thursday,False,False,SCH0180,1.0
ATT0001394,1,183,183,Admin,False,100.0,2025-09-07,Sunday,True,True,SCH0328,1.0
ATT0011718,5,167,167,Clerk,False,100.0,2025-07-12,Saturday,False,False,SCH0188,1.0
ATT0004412,4,70,46,,False,65.71428571428571,2025-08-05,Tuesday,False,False,SCH0352,1.0
ATT0016357,2,61,43,Clerk,False,70.49180327868852,2025-09-11,Thursday,False,False,SCH0217,1.0
ATT0010389,5,187,131,Headmaster,False,70.05347593582889,2025-10-23,Thursday,False,False,SCH0454,1.0
ATT0004549,3,70,61,Admin,False,87.14285714285714,2025-10-01,Wednesday,False,False,SCH0517,
ATT0003932,3,296,296,Headmaster,False,100.0,2025-11-09,Sunday,True,True,SCH0451,1.0
ATT0010030,4,218,151,Headmaster,False,69.26605504587155,2025-10-27,Monday,False,False,SCH0598,1.0
ATT0003617,5,74,47,Class Teacher,False,63.51351351351351,2025-08-22,Friday,False,False,SCH0304,1.0
