inspection_id,has_electricity,has_drinking_water,has_functional_toilet,has_boundary_wall,has_playground,inspector_name,remarks,date,school_id
INSP02966,1.0,1.0,1.0,1.0,,Fariq Tripathi,Good condition,2025-04-02,SCH0476
INSP00970,1.0,1.0,1.0,1.0,1.0,Unnati Kulkarni,Good condition,2025-05-13,SCH0337
INSP01386,1.0,1.0,0.0,1.0,1.0,Girik Natt,Toilets locked,2025-06-26,SCH0127
INSP01234,0.0,0.0,1.0,1.0,0.0,Rudra Kurian,Good condition,2025-06-02,SCH0372
INSP02997,1.0,1.0,1.0,1.0,0.0,Mohammed Dara,Average,2025-10-29,SCH0517
INSP02408,,0.0,1.0,0.0,1.0,,No remarks,2025-10-30,SCH0334
INSP02849,1.0,1.0,1.0,1.0,0.0,Meera Sachar,Needs repair,2025-07-23,SCH0229
INSP01240,1.0,1.0,1.0,0.0,0.0,Shivani Konda,Toilets locked,2025-12-29,SCH0072
INSP02649,1.0,1.0,1.0,1.0,1.0,Yachana Mody,Good condition,2026-01-20,SCH0516
INSP01667,1.0,1.0,1.0,,1.0,Eiravati Choudhry,Good condition,2025-05-12,SCH0182
INSP02398,1.0,0.0,1.0,0.0,1.0,Ira Choudhary,No remarks,2026-05-01,SCH0221
INSP01451,1.0,0.0,1.0,1.0,1.0,,Needs repair,2025-12-29,SCH0026
INSP00613,1.0,1.0,1.0,,0.0,Maya Chada,Good condition,2025-10-04,SCH0092
INSP01189,1.0,0.0,1.0,1.0,0.0,Caleb Lala,Toilets locked,2025-12-25,SCH0063
INSP00832,0.0,,1.0,1.0,0.0,Xavier Gade,,2025-10-02,SCH0509
INSP02501,1.0,1.0,1.0,0.0,0.0,Kamya Ravi,Toilets locked,2025-05-10,SCH0033
INSP00333,1.0,,1.0,0.0,1.0,Jasmit Ramachandran,Toilets locked,2025-10-09,SCH0477
INSP02727,1.0,1.0,1.0,1.0,1.0,Chasmum Uppal,Good condition,2025-10-06,SCH0522
INSP00145,0.0,1.0,1.0,1.0,0.0,Yachana Mangat,Toilets locked,2025-11-22,SCH0215
INSP02233,1.0,1.0,1.0,1.0,0.0,Samaksh Khare,Average,2025-10-23,SCH0428
INSP01671,1.0,1.0,1.0,0.0,1.0,Manan Mangat,Needs repair,2025-12-22,SCH0042
INSP01776,0.0,1.0,1.0,1.0,,Manbir Sodhi,Needs repair,2025-09-14,SCH0403
INSP01733,1.0,1.0,0.0,1.0,1.0,Qarin Nayar,Toilets locked,2025-10-23,SCH0175
INSP02204,0.0,1.0,1.0,0.0,1.0,,,2026-06-02,SCH0010
INSP02552,0.0,1.0,1.0,1.0,1.0,Gaurangi Ratti,Toilets locked,2025-04-08,SCH0140
INSP00219,0.0,1.0,1.0,1.0,0.0,Zehaan Deshpande,Average,2025-09-09,SCH0325
INSP00292,1.0,1.0,1.0,0.0,1.0,Chasmum Ganguly,No remarks,2025-11-25,SCH0371
INSP02177,1.0,1.0,,,1.0,Jonathan Jain,Good condition,2025-04-26,SCH0583
INSP00818,1.0,0.0,1.0,1.0,0.0,Krishna Gaba,Average,2025-09-16,SCH0078
INSP00602,1.0,1.0,1.0,1.0,0.0,Umang Sagar,Average,2025-11-20,SCH0360
INSP00018,1.0,1.0,1.0,1.0,0.0,Unnati Goel,,2026-03-15,SCH0582
INSP00171,0.0,1.0,0.0,,0.0,Sneha Ghosh,Good condition,2025-02-04,SCH0067
INSP01738,1.0,1.0,1.0,0.0,0.0,Osha Bajwa,,2025-10-02,SCH0230
INSP02283,1.0,1.0,1.0,1.0,1.0,Sai Warrior,Average,2025-09-21,SCH0559
INSP02803,0.0,1.0,1.0,,0.0,Ekaraj Sehgal,,2026-02-19,SCH0238
INSP01408,,1.0,1.0,0.0,1.0,Kamala Roy,Average,2026-10-03,SCH0274
INSP00179,1.0,1.0,1.0,1.0,1.0,Riya Kant,Good condition,2025-12-09,SCH0577
INSP01337,1.0,1.0,1.0,0.0,0.0,Imaran Tandon,Toilets locked,2025-06-03,SCH0011
INSP01815,0.0,0.0,1.0,1.0,0.0,Lavanya Choudhry,Average,2025-05-01,SCH0240
INSP02205,1.0,1.0,1.0,0.0,0.0,Rudra Bail,Toilets locked,2025-07-11,SCH0037
INSP01412,0.0,1.0,1.0,,,Sai Bhasin,Average,2025-08-05,SCH0596
INSP02746,1.0,1.0,1.0,1.0,,Isaac Kalla,,2025-11-13,SCH0422
INSP01663,0.0,1.0,1.0,0.0,,Neel Ganesh,Needs repair,2026-06-03,SCH0456
INSP01227,1.0,0.0,,1.0,1.0,Isaiah Mangat,,2025-06-29,SCH0398
INSP02025,1.0,1.0,1.0,1.0,1.0,Bhanumati Chaudhari,,2025-10-08,SCH0219
INSP02771,1.0,1.0,1.0,1.0,0.0,Rajata Mistry,Toilets locked,2026-03-02,SCH0339
INSP02097,,0.0,1.0,1.0,,Laksh Dugar,Good condition,2025-05-05,SCH0564
INSP00135,,1.0,1.0,0.0,1.0,Jackson Narasimhan,Toilets locked,2026-03-09,SCH0542
INSP02846,0.0,1.0,1.0,1.0,0.0,Ishanvi Arya,Average,2026-02-12,SCH0258
INSP02987,,1.0,1.0,0.0,1.0,Kevin Gade,Needs repair,2025-06-24,SCH0131
INSP00103,1.0,1.0,1.0,1.0,1.0,Netra Ram,Average,2026-02-24,SCH0022
INSP00415,1.0,1.0,1.0,1.0,1.0,Liam Sibal,Average,2025-11-05,SCH0093
INSP02697,1.0,1.0,1.0,0.0,1.0,Hritik Naidu,Toilets locked,2026-02-12,SCH0122
INSP01484,1.0,1.0,1.0,1.0,1.0,Hamsini Pandya,Toilets locked,2025-12-21,SCH0362
INSP01188,0.0,,1.0,0.0,1.0,Max Shenoy,Toilets locked,2025-06-15,SCH0005
INSP01730,0.0,1.0,1.0,1.0,0.0,,Good condition,2025-10-26,SCH0476
INSP02006,1.0,1.0,1.0,,0.0,Zashil Hegde,Average,2025-08-02,SCH0075
INSP02154,1.0,0.0,1.0,1.0,0.0,,No remarks,2025-10-12,SCH0434
INSP02572,1.0,0.0,1.0,,1.0,Girindra Tiwari,,2025-04-28,SCH0556
INSP01147,1.0,0.0,1.0,0.0,0.0,Vritti Agarwal,No remarks,2025-09-30,SCH0535
INSP00310,1.0,1.0,1.0,1.0,0.0,,,2026-02-20,SCH0037
INSP02274,1.0,1.0,1.0,1.0,,Baghyawati Chana,Toilets locked,2025-12-19,SCH0434
INSP02440,0.0,1.0,1.0,1.0,0.0,Shivansh Trivedi,Toilets locked,2026-09-01,SCH0458
INSP00193,0.0,1.0,1.0,1.0,1.0,Shivansh Tara,No remarks,2026-12-03,SCH0533
