procurement_id,date,school_id,vendor_name,grain_type,quantity,unit,total_cost,payment_status
MDM008522,2026-01-14,SCH0249,Singh Brothers,Wheat,33.9,KG,336.0,Pending
MDM010158,2025-08-10,SCH0140,Kumar General Store,Wheat,33.9,KG,1794.0,Cleared
MDM007882,2025-11-03,SCH0514,Kumar General Store,oil,33.9,KG,1794.0,Paid
MDM004875,2026-03-19,SCH0445,Sharma Traders,Rice,33.9,KG,1600.0,Due
MDM011422,2025-08-16,SCH0172,Kumar Supplies,Rice,33.9,KG,2104.0,Paid
MDM007746,2025-04-10,SCH0357,Kumar Supplies,Rice,14.9,KG,596.0,Paid
MDM003693,2025-08-05,SCH0267,Sharma Traders,Lentils,33.9,KG,1794.0,Paid
MDM001497,2025-12-09,SCH0210,singh agro,Rice,33.9,KG,644.0,Due
MDM001214,2025-06-25,SCH0301,singh agro,Lentils,14.2,KG,1794.0,Pending
MDM005465,2025-06-14,SCH0233,singh agro,Wheat,33.9,KG,1710.0,Paid
MDM011101,2025-10-10,SCH0283,sharma & sons,atta,33.9,KG,855.0,Pending
MDM011169,2026-11-02,SCH0113,s. agro works,Rice,33.0,KG,1794.0,Due
MDM004084,2025-06-04,SCH0037,Singh Brothers,Wheat,33.9,KG,1188.0,Cleared
MDM008099,2025-08-27,SCH0340,Sharma Traders,Wheat,33.9,KG,645.0,Cleared
MDM009206,2025-08-27,SCH0366,Goyal Rice Mill,Pulses,33.9,KG,2493.0,Paid
MDM002217,2025-10-01,SCH0462,singh agro,Rice,33.9,KG,1800.0,Cleared
MDM001670,2026-03-23,SCH0228,goyal mill,mustard oil,33.9,KG,4440.0,Paid
MDM000813,2025-11-25,SCH0492,Sharma Traders,Wheat,33.9,KG,1344.0,Paid
MDM011888,2026-02-06,SCH0321,sharma & sons,cooking oil,33.9,KG,1794.0,Due
MDM008145,2025-10-03,SCH0462,Goyal Rice Mill,sarson tel,33.9,KG,1794.0,Pending
MDM002981,2025-12-16,SCH0183,Singh Brothers,Lentils,33.9,KG,3159.0,Pending
MDM005964,2026-02-16,SCH0424,s. agro works,Wheat,33.9,KG,1794.0,Pending
MDM007657,2025-10-07,SCH0117,s. agro works,oil,46.6,KG,5592.0,Pending
MDM006963,2025-04-29,SCH0061,kumar & co.,oil,33.9,KG,4272.0,Paid
MDM000742,2026-03-20,SCH0076,s. agro works,Pulses,33.9,KG,3078.0,Paid
MDM005298,2026-03-20,SCH0378,Kumar Supplies,oil,33.9,KG,4920.0,Pending
MDM011357,2026-02-06,SCH0105,kumar & co.,cooking oil,52.2,KG,1794.0,Paid
MDM004065,2025-07-30,SCH0421,Kumar Supplies,Lentils,33.9,KG,4311.0,Pending
MDM010975,2025-04-19,SCH0329,s. agro works,mustard oil,33.9,KG,1794.0,Cleared
MDM002616,2026-02-10,SCH0295,Singh Brothers,Lentils,33.9,KG,1566.0,Paid
MDM009238,2026-02-09,SCH0053,sharma & sons,Rice,31.1,KG,1244.0,Paid
MDM003882,2025-04-25,SCH0426,Goyal Rice Mill,Wheat,33.9,KG,840.0,Paid
MDM005266,2025-04-04,SCH0494,Kumar General Store,cooking oil,33.9,KG,5772.0,Paid
MDM008835,2026-01-21,SCH0113,Sharma Traders,Rice,59.0,KG,2360.0,Pending
MDM011468,2026-03-24,SCH0094,Sharma Traders,Lentils,33.9,KG,2295.0,Due
MDM006795,2026-03-20,SCH0445,s. agro works,Rice,33.9,KG,1794.0,Pending
MDM000829,2025-05-22,SCH0445,Kumar Supplies,Rice,33.9,KG,1688.0,Paid
MDM009677,2026-01-25,SCH0201,Singh Brothers,sarson tel,48.4,KG,1794.0,Paid
MDM004339,2025-05-11,SCH0340,goyal enterprises,oil,33.9,KG,1967.0,Paid
MDM007788,2025-05-06,SCH0018,singh agro,oil,33.9,KG,1794.0,Pending
MDM008820,2026-01-26,SCH0419,goyal enterprises,Wheat,15.8,KG,474.0,Due
MDM001458,2025-12-29,SCH0216,sharma & sons,Wheat,33.9,KG,1794.0,Paid
MDM002665,2025-10-12,SCH0245,Kumar Supplies,sarson tel,33.9,KG,2292.0,Paid
MDM005509,2025-08-03,SCH0023,Kumar Supplies,Lentils,33.9,KG,4608.0,Pending
MDM000750,2025-11-26,SCH0306,Kumar Supplies,Lentils,33.9,KG,3402.0,Paid
MDM006299,2025-11-25,SCH0566,goyal mill,Lentils,33.9,KG,1794.0,Due
MDM006692,2025-07-16,SCH0476,singh agro,oil,33.9,KG,5952.0,Paid
MDM008599,2025-06-29,SCH0259,s. agro works,Lentils,33.9,KG,3159.0,Pending
MDM009422,2026-03-12,SCH0187,goyal enterprises,Pulses,47.3,KG,1794.0,Paid
MDM004886,2025-07-29,SCH0558,Singh Brothers,Wheat,33.9,KG,1329.0,Due
MDM011213,2026-03-19,SCH0058,Singh Brothers,Wheat,55.7,KG,1671.0,Pending
MDM004194,2025-11-29,SCH0292,goyal enterprises,cooking oil,22.8,KG,2736.0,Pending
MDM008415,2026-02-09,SCH0511,kumar & co.,cooking oil,33.9,KG,4704.0,Due
MDM009246,2025-06-11,SCH0342,Sharma Traders,Rice,33.9,KG,820.0,Paid
MDM007888,2025-10-18,SCH0098,Singh Brothers,Wheat,33.9,KG,1794.0,Paid
MDM009609,2025-04-16,SCH0303,goyal mill,mustard oil,33.9,KG,2676.0,Pending
MDM010676,2026-03-30,SCH0496,Kumar General Store,Lentils,33.9,KG,1794.0,Due
MDM011630,2025-10-04,SCH0151,Sharma Traders,cooking oil,33.9,KG,4416.0,Pending
MDM005338,2026-02-25,SCH0547,singh agro,Wheat,44.6,KG,1794.0,Paid
MDM007986,2025-08-26,SCH0040,Kumar Supplies,Wheat,33.9,KG,1794.0,Paid
MDM000294,2026-01-12,SCH0358,kumar & co.,Rice,33.9,KG,1508.0,Paid
MDM011862,2025-04-13,SCH0143,Singh Brothers,mustard oil,33.9,KG,6828.0,Pending
MDM004314,2025-06-01,SCH0552,Sharma Traders,Pulses,33.9,KG,4941.0,Paid
MDM010212,2025-11-29,SCH0356,s. agro works,cooking oil,33.9,KG,1794.0,Pending
MDM004868,2026-01-13,SCH0146,Goyal Rice Mill,Wheat,33.9,KG,522.0,Paid
MDM000312,2026-02-18,SCH0186,s. agro works,Pulses,55.6,KG,5004.0,Paid
MDM003317,2026-01-05,SCH0264,Kumar General Store,Wheat,33.9,KG,1596.0,Paid
MDM003586,2025-04-21,SCH0592,Kumar Supplies,sarson tel,33.9,KG,3816.0,Paid
MDM009379,2025-07-29,SCH0474,singh agro,oil,33.9,KG,4740.0,Paid
MDM000773,2026-02-10,SCH0418,singh agro,oil,33.9,KG,3516.0,Cleared
MDM000928,2026-03-18,SCH0265,Goyal Rice Mill,Rice,33.9,KG,1794.0,Paid
MDM006158,2025-04-05,SCH0306,Sharma Traders,Wheat,33.9,KG,1677.0,Pending
MDM004954,2025-07-24,SCH0454,Goyal Rice Mill,atta,33.9,KG,1566.0,Paid
MDM005023,2025-11-29,SCH0445,kumar & co.,sarson tel,33.9,KG,6804.0,Pending
MDM003892,2025-07-19,SCH0076,Sharma Traders,sarson tel,33.9,KG,1794.0,Pending
MDM011857,2025-10-16,SCH0485,kumar & co.,Pulses,33.9,KG,1350.0,Paid
MDM011989,2025-11-24,SCH0544,Kumar Supplies,mustard oil,33.9,KG,4380.0,Pending
MDM000305,2025-05-01,SCH0405,Singh Brothers,Rice,33.9,KG,1794.0,Paid
MDM005759,2025-06-23,SCH0397,goyal enterprises,Wheat,37.2,KG,1116.0,Cleared
MDM006129,2025-11-24,SCH0561,Kumar General Store,sarson tel,59.7,KG,7164.0,Cleared
MDM000812,2025-05-06,SCH0589,Singh Brothers,Lentils,33.9,KG,3474.0,Paid
MDM004094,2025-10-03,SCH0195,goyal mill,cooking oil,58.4,KG,7008.0,Paid
MDM010724,2025-07-24,SCH0047,s. agro works,Lentils,33.9,KG,1794.0,Pending
MDM003998,2025-07-25,SCH0210,singh agro,Rice,33.9,KG,1794.0,Cleared
MDM000248,2025-05-03,SCH0032,kumar & co.,Pulses,33.9,KG,1794.0,Pending
MDM001618,2026-01-09,SCH0481,Goyal Rice Mill,atta,33.9,KG,945.0,Paid
MDM000201,2025-09-14,SCH0322,Singh Brothers,Wheat,39.3,KG,1794.0,Cleared
MDM004908,2025-05-26,SCH0058,goyal enterprises,Rice,33.9,KG,924.0,Paid
MDM010408,2026-02-20,SCH0167,Goyal Rice Mill,Lentils,33.9,KG,5085.0,Pending
MDM010543,2026-01-24,SCH0383,Kumar Supplies,atta,39.3,KG,1179.0,Paid
MDM004672,2025-05-15,SCH0376,Kumar Supplies,Rice,33.9,KG,960.0,Pending
MDM003488,2026-02-23,SCH0125,Singh Brothers,mustard oil,52.6,KG,6312.0,Due
MDM011677,2025-04-13,SCH0387,Singh Brothers,Lentils,33.9,KG,4779.0,Paid
MDM009892,2026-03-22,SCH0074,singh agro,cooking oil,33.9,KG,6732.0,Paid
MDM009298,2025-05-16,SCH0220,Sharma Traders,sarson tel,33.9,KG,6132.0,Due
MDM005900,2026-01-31,SCH0514,Kumar General Store,Rice,33.9,KG,1794.0,Due
MDM003618,2025-11-18,SCH0304,goyal mill,Lentils,33.9,KG,1794.0,Paid
MDM003932,2026-12-03,SCH0149,kumar & co.,Lentils,33.9,KG,4293.0,Paid
MDM009319,2025-11-22,SCH0253,Kumar General Store,Lentils,13.7,KG,1233.0,Paid
MDM003026,2026-01-16,SCH0271,Sharma Traders,Wheat,33.9,KG,1794.0,Paid
MDM004411,2026-03-26,SCH0567,Kumar Supplies,Lentils,33.9,KG,2853.0,Paid
MDM001189,2025-04-13,SCH0514,sharma & sons,sarson tel,33.9,KG,1794.0,Pending
MDM008016,2025-10-10,SCH0419,kumar & co.,Lentils,33.9,KG,1794.0,Paid
MDM004442,2025-11-04,SCH0554,Goyal Rice Mill,mustard oil,33.9,KG,3600.0,Due
MDM010944,2025-10-15,SCH0446,Kumar Supplies,oil,33.9,KG,1794.0,Paid
MDM002755,2025-05-20,SCH0455,Sharma Traders,Rice,33.9,KG,1928.0,Paid
MDM002953,2026-01-22,SCH0467,goyal mill,Rice,33.9,KG,1794.0,Due
MDM007147,2026-03-06,SCH0001,Kumar General Store,cooking oil,33.9,KG,2352.0,Paid
MDM009076,2025-08-21,SCH0535,goyal mill,Wheat,14.1,KG,1794.0,Due
MDM008395,2025-05-08,SCH0549,kumar & co.,Rice,33.9,KG,1794.0,Pending
MDM006537,2025-08-28,SCH0348,Singh Brothers,Lentils,33.9,KG,2025.0,Paid
MDM010629,2025-06-14,SCH0167,sharma & sons,atta,29.6,KG,1794.0,Paid
MDM003873,2025-11-07,SCH0344,sharma & sons,cooking oil,33.9,KG,1794.0,Pending
MDM000519,2025-07-07,SCH0406,Kumar Supplies,Wheat,33.9,KG,597.0,Pending
MDM002022,2025-05-21,SCH0454,Singh Brothers,sarson tel,33.9,KG,1794.0,Due
MDM005166,2025-12-06,SCH0560,Sharma Traders,Lentils,33.9,KG,3096.0,Due
MDM005701,2025-06-10,SCH0591,Kumar General Store,Rice,42.3,KG,1794.0,Due
MDM001384,2025-11-04,SCH0282,Singh Brothers,Wheat,33.9,KG,1131.0,Paid
MDM008377,2026-02-16,SCH0401,Goyal Rice Mill,Rice,33.9,KG,1794.0,Paid
MDM002302,2025-10-12,SCH0439,Singh Brothers,Rice,52.6,KG,2104.0,Cleared
MDM005009,2025-06-21,SCH0522,Sharma Traders,Rice,33.9,KG,560.0,Pending
MDM007771,2025-09-26,SCH0451,goyal enterprises,Rice,33.9,KG,656.0,Paid
MDM001218,2025-05-05,SCH0524,sharma & sons,Wheat,33.9,KG,978.0,Paid
MDM008084,2026-01-10,SCH0551,goyal mill,Lentils,33.9,KG,1794.0,Paid
MDM001276,2025-10-28,SCH0068,goyal enterprises,mustard oil,33.9,KG,3204.0,Paid
MDM007448,2025-07-15,SCH0497,singh agro,Lentils,33.9,KG,1794.0,Paid
MDM004280,2025-10-09,SCH0253,s. agro works,Wheat,33.9,KG,1794.0,Pending
MDM000971,2026-03-20,SCH0266,goyal mill,cooking oil,33.9,KG,4380.0,Pending
MDM008150,2025-12-16,SCH0511,goyal mill,Pulses,33.9,KG,5058.0,Paid
MDM003838,2026-01-20,SCH0594,kumar & co.,Rice,33.9,KG,1794.0,Pending
MDM008405,2026-02-08,SCH0347,Kumar Supplies,Wheat,27.1,KG,813.0,Paid
MDM003446,2025-09-26,SCH0090,Kumar General Store,Wheat,33.9,KG,1254.0,Pending
MDM004771,2025-07-09,SCH0585,goyal mill,Wheat,33.9,KG,1629.0,Cleared
MDM002629,2025-08-24,SCH0300,Sharma Traders,Wheat,33.9,KG,1794.0,Pending
