school_id,school_name,district,block,total_enrolled_students,school_type,medium,avg_attendance_rate,total_attendance_records,proxy_attendance_records,proxy_attendance_rate,count_anomaly_records,count_anomaly_rate,total_mdm_quantity_kg,total_mdm_records,total_mdm_cost,avg_mdm_cost,mdm_regularity_rate,unique_vendors,unique_grain_types,assessed_facilities,functional_facilities,infrastructure_deficit_index,average_test_score,total_assessments,subjects_assessed,student_welfare_risk_score,risk_level
SCH0001,Govt. Primary School Nadkarni,Amritsar,Amritsar-I,419,Upper Primary,Hindi,82.28854856259252,33,1,3.0303030303030303,0,0.0,674.0999999999998,19,32891.0,1731.1052631578948,57.57575757575758,9,7,5,2.5,50.0,60.37187500000001,16,6,2,Moderate
SCH0002,Govt. Primary School Dewan,Unknown,Tarn Taran,56,Upper Primary,Hindi,83.66821204940895,35,3,8.571428571428571,3,8.571428571428571,542.7999999999998,16,29130.0,1820.625,48.484848484848484,9,6,5,4.0,20.0,63.46,15,5,3,Moderate
SCH0003,Govt. Senior Secondary School Chopra,Ferozepur,Zira,269,Primary,English,80.7465892206298,32,1,3.125,1,3.125,529.7999999999998,16,32771.0,2048.1875,48.484848484848484,9,5,5,4.1000000000000005,17.99999999999999,71.44583333333334,12,4,1,Low
SCH0004,Govt. Elementary School Kaur,Bathinda,Unknown,150,Secondary,English,79.1949108693765,29,1,3.4482758620689653,3,10.344827586206897,567.1999999999998,16,38586.0,2411.625,48.484848484848484,8,6,5,3.4000000000000004,31.999999999999993,66.95333333333333,15,5,3,Moderate
SCH0005,Govt. Elementary School Bajwa,Bathinda,Unknown,413,Primary,English,80.67644757653886,27,0,0.0,0,0.0,796.6999999999997,23,42220.0,1835.6521739130435,69.6969696969697,11,7,5,3.0,40.0,64.48076923076923,13,5,1,Low
SCH0006,Govt. Primary School Bahri,Moga,Moga-Ii,400,Upper Primary,Punjabi,79.14590611030883,28,1,3.5714285714285716,0,0.0,770.9999999999997,23,50644.0,2201.913043478261,69.6969696969697,10,6,5,2.5,50.0,63.70333333333333,15,6,2,Moderate
SCH0007,Govt. Middle School Kale,Ferozepur,Makhu,272,Secondary,English,78.12351652909763,38,1,2.6315789473684212,2,5.2631578947368425,962.3999999999995,29,66876.0,2306.0689655172414,87.87878787878788,10,8,5,4.2,15.999999999999996,58.55555555555556,9,4,2,Moderate
SCH0008,Govt. Middle School Sibal,Amritsar,Amritsar-Ii,313,Upper Primary,Hindi,80.86203924646234,37,2,5.405405405405405,1,2.7027027027027026,820.4999999999997,23,46077.0,2003.3478260869565,69.6969696969697,11,8,5,3.761904761904762,24.761904761904763,68.9,7,3,0,Low
SCH0009,Govt. Middle School Bakshi,Patiala,Samana,433,Upper Primary,Punjabi,80.92646521851924,26,2,7.6923076923076925,1,3.8461538461538463,539.5999999999999,16,30188.0,1886.75,48.484848484848484,8,9,5,2.976190476190476,40.47619047619048,62.63846153846154,13,4,4,High
SCH0010,Govt. Elementary School Mani,Patiala,Samana,148,Higher Secondary,Hindi,87.22058161028419,35,6,17.142857142857142,2,5.714285714285714,592.6999999999998,17,34065.0,2003.8235294117646,51.515151515151516,9,6,5,3.3333333333333335,33.33333333333333,59.07916666666667,12,5,3,Moderate
SCH0011,Govt. Senior Secondary School Munshi,Patiala,Samana,422,Higher Secondary,Punjabi,83.11489519929557,34,2,5.882352941176471,2,5.882352941176471,552.3999999999999,16,45711.0,2856.9375,48.484848484848484,9,8,5,3.666666666666667,26.666666666666664,75.36785714285713,14,5,1,Low
SCH0012,Govt. Elementary School Mand,Ludhiana,Ludhiana-I,118,Higher Secondary,Punjabi,85.5712044876154,39,3,7.6923076923076925,0,0.0,745.7999999999997,22,54523.0,2478.318181818182,66.66666666666667,9,8,5,2.5,50.0,72.57142857142858,14,5,2,Moderate
